recipe_id,ingredient_id
029db3d1-4f21-4e98-ab32-aef892d9fb73,11111111-1111-1111-1111-111111111111
029db3d1-4f21-4e98-ab32-aef892d9fb73,22222222-2222-2222-2222-222222222222
029db3d1-4f21-4e98-ab32-aef892d9fb73,33333333-3333-3333-3333-333333333333
f75e4594-f135-4331-a956-32297cb20ac4,44444444-4444-4444-4444-444444444444
f75e4594-f135-4331-a956-32297cb20ac4,55555555-5555-5555-5555-555555555555
ab6ce13f-4a2b-4d82-993e-4b4f5d808463,66666666-6666-6666-6666-666666666666
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-7777-7777-7777-777777777777
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-8888-8888-8888-888888888888
029db3d1-4f21-4e98-ab32-aef892d9fb73,99999999-1111-1111-1111-111111111111
029db3d1-4f21-4e98-ab32-aef892d9fb73,99999999-2222-2222-2222-222222222222
f75e4594-f135-4331-a956-32297cb20ac4,99999999-3333-3333-3333-333333333333
f75e4594-f135-4331-a956-32297cb20ac4,99999999-4444-4444-4444-444444444444
ab6ce13f-4a2b-4d82-993e-4b4f5d808463,99999999-5555-5555-5555-555555555555
ab6ce13f-4a2b-4d82-993e-4b4f5d808463,99999999-6666-6666-6666-666666666666
e7d3ef9d-1c98-4d69-950f-17d81709f230,99999999-7777-7777-7777-777777777777
e7d3ef9d-1c98-4d69-950f-17d81709f230,99999999-8888-8888-8888-888888888888
bc67e3b5-0051-48ca-98ed-ee3663bcad35,99999999-9999-9999-9999-999999999999
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-1111-1111-1111-111111111111
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-2222-2222-2222-222222222222
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-3333-3333-3333-333333333333
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-4444-4444-4444-444444444444
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-5555-5555-5555-555555555555
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-6666-6666-6666-666666666666
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-7777-7777-7777-777777777777
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-8888-8888-8888-888888888889
bc67e3b5-0051-48ca-98ed-ee3663bcad35,88888888-9999-9999-9999-999999999999
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-1111-1111-1111-111111111111
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-2222-2222-2222-222222222222
bc67e3b5-0051-48ca-98ed-ee3663bcad35,77777777-3333-3333-3333-333333333333
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-4444-4444-4444-444444444444
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-5555-5555-5555-555555555555
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-6666-6666-6666-666666666666
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-7777-7777-7777-777777777778
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-8888-8888-8888-888888888889
e7d3ef9d-1c98-4d69-950f-17d81709f230,77777777-9999-9999-9999-999999999999
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000002
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000003
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000005
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000003
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000006
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000007
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000008
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000009
20000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000002
20000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000003
20000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000010
20000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000011
20000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000012
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000011
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000013
20000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000014
20000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000008
20000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000018
20000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000001
20000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000002
20000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000003
20000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000017
20000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000010
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000019
20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000020
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000021
20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000022
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000023
20000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000024
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000025
20000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000026
20000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000027
